cell_id,key,locale,en_reference,current_string,question,verdict_OK_or_FIX,suggested_replacement,notes
12.1.1,home.eyebrow,fr,spec govops-002 · law-as-code,spec govops-002 · law-as-code,"Currently kept as the literal developer-only string. Localise (and propose replacement), or stay verbatim?",FIX,spec govops-002 · Law-as-Code,"Capitalise methodology name as proper noun; keep verbatim (not localised) across all locales including en."
12.1.1,home.eyebrow,de,spec govops-002 · law-as-code,spec govops-002 · law-as-code,"Currently kept as the literal developer-only string. Localise (and propose replacement), or stay verbatim?",FIX,spec govops-002 · Law-as-Code,"Capitalise methodology name as proper noun; keep verbatim (not localised) across all locales including en."
12.1.1,home.eyebrow,es-MX,spec govops-002 · law-as-code,spec govops-002 · law-as-code,"Currently kept as the literal developer-only string. Localise (and propose replacement), or stay verbatim?",FIX,spec govops-002 · Law-as-Code,"Capitalise methodology name as proper noun; keep verbatim (not localised) across all locales including en."
12.1.1,home.eyebrow,pt-BR,spec govops-002 · law-as-code,spec govops-002 · law-as-code,"Currently kept as the literal developer-only string. Localise (and propose replacement), or stay verbatim?",FIX,spec govops-002 · Law-as-Code,"Capitalise methodology name as proper noun; keep verbatim (not localised) across all locales including en."
12.1.1,home.eyebrow,uk,spec govops-002 · law-as-code,spec govops-002 · law-as-code,"Currently kept as the literal developer-only string. Localise (and propose replacement), or stay verbatim?",FIX,spec govops-002 · Law-as-Code,"Capitalise methodology name as proper noun; keep verbatim (not localised) across all locales including en."
12.1.2,screen.benefit.op.add,fr,add,additionner,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.add,de,add,Addieren,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.add,es-MX,add,sumar,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.add,pt-BR,add,somar,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.add,uk,add,додати,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.clamp,fr,clamp,borner,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.clamp,de,clamp,Begrenzen,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.clamp,es-MX,clamp,limitar,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.clamp,pt-BR,clamp,limitar,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.clamp,uk,clamp,обмежити,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.const,fr,constant,constante,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.const,de,constant,Konstante,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.const,es-MX,constant,constante,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.const,pt-BR,constant,constante,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.const,uk,constant,константа,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.divide,fr,divide,diviser,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.divide,de,divide,Dividieren,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.divide,es-MX,divide,dividir,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.divide,pt-BR,divide,dividir,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.divide,uk,divide,поділити,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.field,fr,case input,donnée du cas,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.field,de,case input,Falleingabe,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.field,es-MX,case input,entrada del caso,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.field,pt-BR,case input,entrada do caso,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.field,uk,case input,вхід справи,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.max,fr,maximum,maximum,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.max,de,maximum,Maximum,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.max,es-MX,maximum,máximo,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
12.1.2,screen.benefit.op.max,pt-BR,maximum,máximo,Operator/trace verb tag. Lowercase verbs in fr/es/pt/uk; capitalised nouns in de (German noun convention). Confirm cross-locale consistency for THIS locale family.,OK,,"Option A: keep current verbs in fr/es/pt/uk; keep capitalised nouns in de. Mixed paradigm intentional; de orthography forces capitalisation regardless."
